Campaign_ID,Campaign_Type,Duration,Channel used,Impressions,Clicks,Leads,Conversions,Revenue,Acquisition_Cost,ROI,Language,Engagement_Score,Customer_Segment,Date
NY-CMP-1000,Social Media,21,WhatsApp,57804,6156,3616,2355,1867515,111.03,6.14,Hindi,20.98,College Students,29-04-2025
NY-CMP-1001,Paid Ads,18,YouTube,91801,3321,1971,1357,1046247,180.83,3.26,Hindi,7.24,College Students,06-04-2025
NY-CMP-1002,Influencer,23,WhatsApp,15536,2182,952,755,197055,90.6,1.88,English,25.03,College Students,14-01-2025
NY-CMP-1003,Email,18,YouTube,88114,8413,2231,947,376906,249.07,0.6,Hindi,13.15,College Students,04-06-2025
NY-CMP-1004,Paid Ads,10,Facebook,96871,3743,2060,1258,518296,228.6,0.8,Hindi,7.29,Tier 2 City Customers,29-12-2024
NY-CMP-1005,Influencer,26,Email,83919,7497,2061,1555,877020,137.79,3.09,Hindi,13.24,Premium Shoppers,23-09-2024
NY-CMP-1006,Paid Ads,21,YouTube,82267,5534,1873,1386,633402,210.17,1.17,Tamil,10.69,Youth,01-09-2024
NY-CMP-1007,Social Media,6,Instagram,32482,2665,1488,925,326525,147.29,1.4,Hindi,15.63,Tier 2 City Customers,31-05-2025
NY-CMP-1008,Influencer,27,Facebook,73813,8680,5031,2551,1058665,87.74,3.73,Hindi,22.03,Tier 2 City Customers,24-03-2025
NY-CMP-1009,Social Media,11,Email,88895,6284,1600,858,603174,269.82,1.61,Hindi,9.83,Youth,29-04-2025
NY-CMP-1010,SEO,5,Google,59141,1556,580,221,121550,357.66,0.54,Hindi,3.99,Working Women,26-10-2024
NY-CMP-1011,SEO,7,Facebook,39696,5623,1136,661,286874,163.52,1.65,Hindi,18.69,Premium Shoppers,21-12-2024
NY-CMP-1012,Email,29,Email,20080,570,258,183,128466,462.62,0.52,Bengali,5.03,Working Women,30-09-2024
NY-CMP-1013,SEO,14,Email,96303,3749,1785,940,441800,282.05,0.67,Tamil,6.72,Premium Shoppers,29-10-2024
NY-CMP-1014,Paid Ads,5,Instagram,38072,2591,1542,769,240697,369.75,-0.15,Bengali,12.88,College Students,06-07-2024
NY-CMP-1015,Paid Ads,23,Facebook,28714,1511,441,158,33654,1648.61,-0.87,Hindi,7.35,Premium Shoppers,06-10-2024
NY-CMP-1016,SEO,27,WhatsApp,73474,4886,2344,1055,263750,272.28,-0.08,English,11.28,College Students,18-12-2024
NY-CMP-1017,Paid Ads,28,Google,57060,1659,928,346,187186,448.86,0.21,Hindi,5.14,Premium Shoppers,19-04-2025
NY-CMP-1018,SEO,7,WhatsApp,49784,1510,594,440,261800,115.42,4.16,Tamil,5.11,Working Women,18-01-2025
NY-CMP-1019,Paid Ads,21,Instagram,55317,7847,1736,1079,715377,174.65,2.8,English,19.27,Tier 2 City Customers,16-02-2025
NY-CMP-1020,Paid Ads,27,Google,10678,1217,524,163,111981,1124.19,-0.39,Bengali,17.83,Youth,27-08-2024
NY-CMP-1021,SEO,22,Instagram,27990,3508,761,385,155540,516.25,-0.22,Hindi,16.63,Youth,30-01-2025
